2021-04-01 10:28:36,273 | main | INFO | Starting program...
2021-04-01 10:28:36,275 | asyncio | DEBUG | Using selector: EpollSelector
2021-04-01 10:28:36,364 | discord.client | WARNING | PyNaCl is not installed, voice will NOT be supported
2021-04-01 10:28:36,367 | bot | INFO | Bot Subclass Created.
2021-04-01 10:28:36,445 | bot | INFO | Cog loaded: Planner
2021-04-01 10:28:36,663 | bot | INFO | Cog loaded: KUSNews
2021-04-01 10:28:36,761 | bot | INFO | Cog loaded: DayLoop
2021-04-01 10:28:36,763 | bot | INFO | Cog loaded: Adder
2021-04-01 10:28:36,766 | bot | INFO | Cog loaded: AdminCommands
2021-04-01 10:28:36,776 | bot | INFO | Cog loaded: Help
2021-04-01 10:28:36,780 | bot | INFO | Cog loaded: Snekbox
2021-04-01 10:28:36,781 | bot | INFO | Cog loaded: Latency
2021-04-01 10:28:36,783 | bot | INFO | Cog loaded: ErrorHandler
2021-04-01 10:28:36,784 | bot | INFO | Cog loaded: VoiceChannel
2021-04-01 10:28:39,203 | bot | INFO | Connected successfully
2021-04-01 12:56:05,787 | exts.add | DEBUG | Initualizing Data
2021-04-01 12:56:05,787 | exts.add | DEBUG | Creating base embed
2021-04-01 12:56:05,788 | exts.add | DEBUG | Getting Title, title, 1
2021-04-01 12:56:05,788 | exts.add | DEBUG | Getting Value, title  {'title': 'Untitled', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:05,792 | exts.add | DEBUG | Added Feild, title
2021-04-01 12:56:05,793 | exts.add | DEBUG | Getting Title, description, 1
2021-04-01 12:56:05,793 | exts.add | DEBUG | Getting Value, description  {'title': 'Untitled', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:05,794 | exts.add | DEBUG | Added Feild, description
2021-04-01 12:56:05,794 | exts.add | DEBUG | Getting Title, date, 1
2021-04-01 12:56:05,794 | exts.add | DEBUG | Getting Value, date  {'title': 'Untitled', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:05,795 | exts.add | DEBUG | Added Feild, date
2021-04-01 12:56:05,796 | exts.add | DEBUG | Processing Image Field
2021-04-01 12:56:07,841 | exts.add | DEBUG | Waiting for message
2021-04-01 12:56:34,994 | exts.add | DEBUG | Changed State
2021-04-01 12:56:35,161 | exts.add | DEBUG | Updating Embed
2021-04-01 12:56:35,162 | exts.add | DEBUG | Creating base embed
2021-04-01 12:56:35,162 | exts.add | DEBUG | Getting Title, title, 2
2021-04-01 12:56:35,162 | exts.add | DEBUG | Getting Value, title  {'title': 'ใส่ที่ไหนอะ', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:35,164 | exts.add | DEBUG | Added Feild, title
2021-04-01 12:56:35,164 | exts.add | DEBUG | Getting Title, description, 2
2021-04-01 12:56:35,164 | exts.add | DEBUG | Getting Value, description  {'title': 'ใส่ที่ไหนอะ', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:35,164 | exts.add | DEBUG | Added Feild, description
2021-04-01 12:56:35,164 | exts.add | DEBUG | Getting Title, date, 2
2021-04-01 12:56:35,164 | exts.add | DEBUG | Getting Value, date  {'title': 'ใส่ที่ไหนอะ', 'description': 'No Description Provied', 'date': 'Unknown'}
2021-04-01 12:56:35,165 | exts.add | DEBUG | Added Feild, date
2021-04-01 12:56:35,165 | exts.add | DEBUG | Processing Image Field
2021-04-01 12:56:35,269 | exts.add | DEBUG | Updated Embed
2021-04-01 12:56:35,270 | exts.add | DEBUG | Waiting for message
2021-04-01 12:56:54,373 | exts.add | DEBUG | Changed State
2021-04-01 12:56:54,511 | exts.add | DEBUG | Updating Embed
2021-04-01 12:56:54,512 | exts.add | DEBUG | Creating base embed
2021-04-01 12:56:54,512 | exts.add | DEBUG | Getting Title, title, 3
2021-04-01 12:56:54,512 | exts.add | DEBUG | Getting Value, title  {'title': 'ใส่ที่ไหนอะ', 'description': 'อะเค', 'date': 'Unknown'}
2021-04-01 12:56:54,513 | exts.add | DEBUG | Added Feild, title
2021-04-01 12:56:54,513 | exts.add | DEBUG | Getting Title, description, 3
